publishState,approvedBy,pageKey,ownerId,title,body,layoutConfig,createdAt,aiTags,aiSummary,rolePermissions,sectionKey,contentType,updatedAt,updatedBy,visibilityScope,publishedAt,version,structuredData,archivedAt,previousVersionId,deletedAt,createdBy,subtitle,tenantId,mediaIds,scheduledAt,id,created_date,updated_date,created_by_id,created_by,is_sample
"published","","analytics","","Analytics — Asia Operatic Museum Singapore","Analytics is populated with realistic demo content for AR/XR, hologram, XRetail, XLearning, XGaming, AI guide, analytics, accessibility, and migration-readiness review. Route: /museum/asia-operatic-museum/admin/analytics.","{""version"":1,""demo_mode"":true}","2026-06-04T23:43:38.154Z","[""MOA"",""SCAVerse"",""demo""]","Analytics seeded for MOA demo readiness.","","moa_seed_overview","page","2026-06-04T23:43:38.154Z","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","1","{""route"":""/museum/asia-operatic-museum/admin/analytics"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED"",""empty_state_fallback"":""Analytics content is available in demo mode and should be curator-reviewed before production.""}","","","","SCAVERSE_TOTAL_DATABASE_SEED","MOA-aligned demo content","6a220da4b282e8b27dbefda9","[]","","6a220dacd7830d0046a43221","2026-06-04T23:43:40.300000","2026-06-04T23:43:40.300000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","","tenant-login","","Tenant Login — Asia Operatic Museum Singapore","Tenant Login is populated with realistic demo content for AR/XR, hologram, XRetail, XLearning, XGaming, AI guide, analytics, accessibility, and migration-readiness review. Route: /tenant-login.","{""version"":1,""demo_mode"":true}","2026-06-04T23:43:38.154Z","[""MOA"",""SCAVerse"",""demo""]","Tenant Login seeded for MOA demo readiness.","","moa_seed_overview","page","2026-06-04T23:43:38.154Z","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","1","{""route"":""/tenant-login"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED"",""empty_state_fallback"":""Tenant Login content is available in demo mode and should be curator-reviewed before production.""}","","","","SCAVERSE_TOTAL_DATABASE_SEED","MOA-aligned demo content","6a220da4b282e8b27dbefda9","[]","","6a220dacd7830d0046a4321e","2026-06-04T23:43:40.300000","2026-06-04T23:43:40.300000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","","commerce","","Commerce — Asia Operatic Museum Singapore","Commerce is populated with realistic demo content for AR/XR, hologram, XRetail, XLearning, XGaming, AI guide, analytics, accessibility, and migration-readiness review. Route: /museum/asia-operatic-museum/commerce.","{""version"":1,""demo_mode"":true}","2026-06-04T23:43:38.154Z","[""MOA"",""SCAVerse"",""demo""]","Commerce seeded for MOA demo readiness.","","moa_seed_overview","page","2026-06-04T23:43:38.154Z","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","1","{""route"":""/museum/asia-operatic-museum/commerce"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED"",""empty_state_fallback"":""Commerce content is available in demo mode and should be curator-reviewed before production.""}","","","","SCAVERSE_TOTAL_DATABASE_SEED","MOA-aligned demo content","6a220da4b282e8b27dbefda9","[]","","6a220dacd7830d0046a4321a","2026-06-04T23:43:40.300000","2026-06-04T23:43:40.300000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","","platform-overview","","Platform Overview — Asia Operatic Museum Singapore","Platform Overview is populated with realistic demo content for AR/XR, hologram, XRetail, XLearning, XGaming, AI guide, analytics, accessibility, and migration-readiness review. Route: /platform/overview.","{""version"":1,""demo_mode"":true}","2026-06-04T23:43:38.154Z","[""MOA"",""SCAVerse"",""demo""]","Platform Overview seeded for MOA demo readiness.","","moa_seed_overview","page","2026-06-04T23:43:38.154Z","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","1","{""route"":""/platform/overview"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED"",""empty_state_fallback"":""Platform Overview content is available in demo mode and should be curator-reviewed before production.""}","","","","SCAVERSE_TOTAL_DATABASE_SEED","MOA-aligned demo content","6a220da4b282e8b27dbefda9","[]","","6a220dacd7830d0046a4321d","2026-06-04T23:43:40.300000","2026-06-04T23:43:40.300000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","","tickets","","Tickets — Asia Operatic Museum Singapore","Tickets is populated with realistic demo content for AR/XR, hologram, XRetail, XLearning, XGaming, AI guide, analytics, accessibility, and migration-readiness review. Route: /museum/asia-operatic-museum/tickets.","{""version"":1,""demo_mode"":true}","2026-06-04T23:43:38.154Z","[""MOA"",""SCAVerse"",""demo""]","Tickets seeded for MOA demo readiness.","","moa_seed_overview","page","2026-06-04T23:43:38.154Z","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","1","{""route"":""/museum/asia-operatic-museum/tickets"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED"",""empty_state_fallback"":""Tickets content is available in demo mode and should be curator-reviewed before production.""}","","","","SCAVERSE_TOTAL_DATABASE_SEED","MOA-aligned demo content","6a220da4b282e8b27dbefda9","[]","","6a220dacd7830d0046a43219","2026-06-04T23:43:40.300000","2026-06-04T23:43:40.300000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","","admin-dashboard","","Admin Dashboard — Asia Operatic Museum Singapore","Admin Dashboard is populated with realistic demo content for AR/XR, hologram, XRetail, XLearning, XGaming, AI guide, analytics, accessibility, and migration-readiness review. Route: /museum/asia-operatic-museum/admin.","{""version"":1,""demo_mode"":true}","2026-06-04T23:43:38.154Z","[""MOA"",""SCAVerse"",""demo""]","Admin Dashboard seeded for MOA demo readiness.","","moa_seed_overview","page","2026-06-04T23:43:38.154Z","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","1","{""route"":""/museum/asia-operatic-museum/admin"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED"",""empty_state_fallback"":""Admin Dashboard content is available in demo mode and should be curator-reviewed before production.""}","","","","SCAVERSE_TOTAL_DATABASE_SEED","MOA-aligned demo content","6a220da4b282e8b27dbefda9","[]","","6a220dacd7830d0046a4321f","2026-06-04T23:43:40.300000","2026-06-04T23:43:40.300000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","","content-manager","","Content Manager — Asia Operatic Museum Singapore","Content Manager is populated with realistic demo content for AR/XR, hologram, XRetail, XLearning, XGaming, AI guide, analytics, accessibility, and migration-readiness review. Route: /platform/admin/content-data.","{""version"":1,""demo_mode"":true}","2026-06-04T23:43:38.154Z","[""MOA"",""SCAVerse"",""demo""]","Content Manager seeded for MOA demo readiness.","","moa_seed_overview","page","2026-06-04T23:43:38.154Z","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","1","{""route"":""/platform/admin/content-data"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED"",""empty_state_fallback"":""Content Manager content is available in demo mode and should be curator-reviewed before production.""}","","","","SCAVERSE_TOTAL_DATABASE_SEED","MOA-aligned demo content","6a220da4b282e8b27dbefda9","[]","","6a220dacd7830d0046a43223","2026-06-04T23:43:40.300000","2026-06-04T23:43:40.300000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","","experience-manager","","Experience Manager — Asia Operatic Museum Singapore","Experience Manager is populated with realistic demo content for AR/XR, hologram, XRetail, XLearning, XGaming, AI guide, analytics, accessibility, and migration-readiness review. Route: /museum/asia-operatic-museum/admin/walkthrough.","{""version"":1,""demo_mode"":true}","2026-06-04T23:43:38.154Z","[""MOA"",""SCAVerse"",""demo""]","Experience Manager seeded for MOA demo readiness.","","moa_seed_overview","page","2026-06-04T23:43:38.154Z","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","1","{""route"":""/museum/asia-operatic-museum/admin/walkthrough"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED"",""empty_state_fallback"":""Experience Manager content is available in demo mode and should be curator-reviewed before production.""}","","","","SCAVERSE_TOTAL_DATABASE_SEED","MOA-aligned demo content","6a220da4b282e8b27dbefda9","[]","","6a220dacd7830d0046a43224","2026-06-04T23:43:40.300000","2026-06-04T23:43:40.300000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","","academy-learning","","Academy / Learning — Asia Operatic Museum Singapore","Academy / Learning is populated with realistic demo content for AR/XR, hologram, XRetail, XLearning, XGaming, AI guide, analytics, accessibility, and migration-readiness review. Route: /museum/asia-operatic-museum/home.","{""version"":1,""demo_mode"":true}","2026-06-04T23:43:38.154Z","[""MOA"",""SCAVerse"",""demo""]","Academy / Learning seeded for MOA demo readiness.","","moa_seed_overview","page","2026-06-04T23:43:38.154Z","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","1","{""route"":""/museum/asia-operatic-museum/home"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED"",""empty_state_fallback"":""Academy / Learning content is available in demo mode and should be curator-reviewed before production.""}","","","","SCAVERSE_TOTAL_DATABASE_SEED","MOA-aligned demo content","6a220da4b282e8b27dbefda9","[]","","6a220dacd7830d0046a43226","2026-06-04T23:43:40.300000","2026-06-04T23:43:40.300000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","","vendor-register","","Vendor Register — Asia Operatic Museum Singapore","Vendor Register is populated with realistic demo content for AR/XR, hologram, XRetail, XLearning, XGaming, AI guide, analytics, accessibility, and migration-readiness review. Route: /museum/asia-operatic-museum/vendors/register.","{""version"":1,""demo_mode"":true}","2026-06-04T23:43:38.154Z","[""MOA"",""SCAVerse"",""demo""]","Vendor Register seeded for MOA demo readiness.","","moa_seed_overview","page","2026-06-04T23:43:38.154Z","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","1","{""route"":""/museum/asia-operatic-museum/vendors/register"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED"",""empty_state_fallback"":""Vendor Register content is available in demo mode and should be curator-reviewed before production.""}","","","","SCAVERSE_TOTAL_DATABASE_SEED","MOA-aligned demo content","6a220da4b282e8b27dbefda9","[]","","6a220dacd7830d0046a4321c","2026-06-04T23:43:40.300000","2026-06-04T23:43:40.300000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
