safety_rule,updated_at,description,created_by_system,created_at,title,version,sort_order,slug,mode_availability,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"The museum team should verify this before publishing.","2026-06-06T03:17:27.979Z","Museum Co-Curator preset: accessibility alt text. Do not invent facts.","true","2026-06-06T03:17:27.979Z","Accessibility Alt Text","2.0.0","10","accessibility-alt-text","[""easy"",""expert""]","active","6a23914ad4b804fc470792a0","2026-06-06T03:17:30.077000","2026-06-06T03:17:30.077000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"The museum team should verify this before publishing.","2026-06-06T03:17:27.979Z","Museum Co-Curator preset: verification warning. Do not invent facts.","true","2026-06-06T03:17:27.979Z","Verification Warning","2.0.0","11","verification-warning","[""easy"",""expert""]","active","6a23914ad4b804fc470792a1","2026-06-06T03:17:30.077000","2026-06-06T03:17:30.077000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"The museum team should verify this before publishing.","2026-06-06T03:17:27.979Z","Museum Co-Curator preset: guided tour order. Do not invent facts.","true","2026-06-06T03:17:27.979Z","Guided Tour Order","2.0.0","12","guided-tour-order","[""easy"",""expert""]","active","6a23914ad4b804fc470792a2","2026-06-06T03:17:30.077000","2026-06-06T03:17:30.077000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"The museum team should verify this before publishing.","2026-06-06T03:17:27.978Z","Museum Co-Curator preset: explain artifact simply. Do not invent facts.","true","2026-06-06T03:17:27.978Z","Explain Artifact Simply","2.0.0","1","explain-artifact-simply","[""easy"",""expert""]","active","6a23914ad4b804fc47079297","2026-06-06T03:17:30.076000","2026-06-06T03:17:30.076000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"The museum team should verify this before publishing.","2026-06-06T03:17:27.978Z","Museum Co-Curator preset: suggest artifact placement. Do not invent facts.","true","2026-06-06T03:17:27.978Z","Suggest Artifact Placement","2.0.0","2","suggest-artifact-placement","[""easy"",""expert""]","active","6a23914ad4b804fc47079298","2026-06-06T03:17:30.076000","2026-06-06T03:17:30.076000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"The museum team should verify this before publishing.","2026-06-06T03:17:27.978Z","Museum Co-Curator preset: check floating artifacts. Do not invent facts.","true","2026-06-06T03:17:27.978Z","Check Floating Artifacts","2.0.0","3","check-floating-artifacts","[""easy"",""expert""]","active","6a23914ad4b804fc47079299","2026-06-06T03:17:30.076000","2026-06-06T03:17:30.076000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"The museum team should verify this before publishing.","2026-06-06T03:17:27.979Z","Museum Co-Curator preset: write room title. Do not invent facts.","true","2026-06-06T03:17:27.978Z","Write Room Title","2.0.0","4","write-room-title","[""easy"",""expert""]","active","6a23914ad4b804fc4707929a","2026-06-06T03:17:30.076000","2026-06-06T03:17:30.076000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"The museum team should verify this before publishing.","2026-06-06T03:17:27.979Z","Museum Co-Curator preset: make room less confusing. Do not invent facts.","true","2026-06-06T03:17:27.979Z","Make Room Less Confusing","2.0.0","5","make-room-less-confusing","[""easy"",""expert""]","active","6a23914ad4b804fc4707929b","2026-06-06T03:17:30.076000","2026-06-06T03:17:30.076000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"The museum team should verify this before publishing.","2026-06-06T03:17:27.979Z","Museum Co-Curator preset: shorten caption. Do not invent facts.","true","2026-06-06T03:17:27.979Z","Shorten Caption","2.0.0","6","shorten-caption","[""easy"",""expert""]","active","6a23914ad4b804fc4707929c","2026-06-06T03:17:30.076000","2026-06-06T03:17:30.076000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"The museum team should verify this before publishing.","2026-06-06T03:17:27.979Z","Museum Co-Curator preset: child friendly explanation. Do not invent facts.","true","2026-06-06T03:17:27.979Z","Child Friendly Explanation","2.0.0","7","child-friendly-explanation","[""easy"",""expert""]","active","6a23914ad4b804fc4707929d","2026-06-06T03:17:30.076000","2026-06-06T03:17:30.076000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"The museum team should verify this before publishing.","2026-06-06T03:17:27.979Z","Museum Co-Curator preset: elderly friendly explanation. Do not invent facts.","true","2026-06-06T03:17:27.979Z","Elderly Friendly Explanation","2.0.0","8","elderly-friendly-explanation","[""easy"",""expert""]","active","6a23914ad4b804fc4707929e","2026-06-06T03:17:30.076000","2026-06-06T03:17:30.076000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"The museum team should verify this before publishing.","2026-06-06T03:17:27.979Z","Museum Co-Curator preset: school tour summary. Do not invent facts.","true","2026-06-06T03:17:27.979Z","School Tour Summary","2.0.0","9","school-tour-summary","[""easy"",""expert""]","active","6a23914ad4b804fc4707929f","2026-06-06T03:17:30.076000","2026-06-06T03:17:30.076000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
