testResults,publishState,updatedBy,modelConfig,visibilityScope,approvedBy,systemInstructions,ownerId,versionNumber,testInputs,createdAt,archivedAt,deletedAt,createdBy,rolePermissions,tenantId,rolloutStage,masterPromptId,promptText,updatedAt,id,created_date,updated_date,created_by_id,created_by,is_sample
"[{""status"":""seeded_not_verified""}]","published","SCAVERSE_TOTAL_DATABASE_SEED","{""approval_required"":true,""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","tenant","","Never overclaim hardware, payment, production, or cultural facts. Use simple clear language and require review for sensitive content.","","1","[{""input"":""Demo input""}]","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","","6a220da4b282e8b27dbefda9","active","6a220db9b9bd459578e3b9e6","Admin Content Reviewer: produce culturally respectful, demo-safe, human-reviewable output.","2026-06-04T23:43:45.452Z","6a220db9f171d6328d9be9e5","2026-06-04T23:43:53.965000","2026-06-04T23:43:53.965000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"[{""status"":""seeded_not_verified""}]","published","SCAVERSE_TOTAL_DATABASE_SEED","{""approval_required"":true,""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","tenant","","Never overclaim hardware, payment, production, or cultural facts. Use simple clear language and require review for sensitive content.","","1","[{""input"":""Demo input""}]","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","","6a220da4b282e8b27dbefda9","active","6a220db85350041f5a3bd88c","Migration Readiness Auditor: produce culturally respectful, demo-safe, human-reviewable output.","2026-06-04T23:43:45.452Z","6a220db9e46f2c2dde6d4271","2026-06-04T23:43:53.276000","2026-06-04T23:43:53.276000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"[{""status"":""seeded_not_verified""}]","published","SCAVERSE_TOTAL_DATABASE_SEED","{""approval_required"":true,""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","tenant","","Never overclaim hardware, payment, production, or cultural facts. Use simple clear language and require review for sensitive content.","","1","[{""input"":""Demo input""}]","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","","6a220da4b282e8b27dbefda9","active","6a220db8f2f38c79a1774193","QA Sentinel Inspector: produce culturally respectful, demo-safe, human-reviewable output.","2026-06-04T23:43:45.452Z","6a220db8b3a21f35f83e05dd","2026-06-04T23:43:52.570000","2026-06-04T23:43:52.570000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"[{""status"":""seeded_not_verified""}]","published","SCAVERSE_TOTAL_DATABASE_SEED","{""approval_required"":true,""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","tenant","","Never overclaim hardware, payment, production, or cultural facts. Use simple clear language and require review for sensitive content.","","1","[{""input"":""Demo input""}]","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","","6a220da4b282e8b27dbefda9","active","6a220db7620a2b6e094280ac","Accessibility Checker: produce culturally respectful, demo-safe, human-reviewable output.","2026-06-04T23:43:45.452Z","6a220db75f38a9ba80baea33","2026-06-04T23:43:51.804000","2026-06-04T23:43:51.804000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"[{""status"":""seeded_not_verified""}]","published","SCAVERSE_TOTAL_DATABASE_SEED","{""approval_required"":true,""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","tenant","","Never overclaim hardware, payment, production, or cultural facts. Use simple clear language and require review for sensitive content.","","1","[{""input"":""Demo input""}]","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","","6a220da4b282e8b27dbefda9","active","6a220db61e22d4e62ba82ab0","VR Mission Generator: produce culturally respectful, demo-safe, human-reviewable output.","2026-06-04T23:43:45.452Z","6a220db77789ff7dd2637e25","2026-06-04T23:43:51.057000","2026-06-04T23:43:51.057000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"[{""status"":""seeded_not_verified""}]","published","SCAVERSE_TOTAL_DATABASE_SEED","{""approval_required"":true,""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","tenant","","Never overclaim hardware, payment, production, or cultural facts. Use simple clear language and require review for sensitive content.","","1","[{""input"":""Demo input""}]","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","","6a220da4b282e8b27dbefda9","active","6a220db53ada855f68d1bb63","Hologram Script Generator: produce culturally respectful, demo-safe, human-reviewable output.","2026-06-04T23:43:45.452Z","6a220db6ef71efe02ad9633e","2026-06-04T23:43:50.236000","2026-06-04T23:43:50.236000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"[{""status"":""seeded_not_verified""}]","published","SCAVERSE_TOTAL_DATABASE_SEED","{""approval_required"":true,""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","tenant","","Never overclaim hardware, payment, production, or cultural facts. Use simple clear language and require review for sensitive content.","","1","[{""input"":""Demo input""}]","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","","6a220da4b282e8b27dbefda9","active","6a220db5076a6e30581056b1","AR Preview Copy Generator: produce culturally respectful, demo-safe, human-reviewable output.","2026-06-04T23:43:45.452Z","6a220db594d2add0e6f57267","2026-06-04T23:43:49.541000","2026-06-04T23:43:49.541000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"[{""status"":""seeded_not_verified""}]","published","SCAVERSE_TOTAL_DATABASE_SEED","{""approval_required"":true,""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","tenant","","Never overclaim hardware, payment, production, or cultural facts. Use simple clear language and require review for sensitive content.","","1","[{""input"":""Demo input""}]","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","","6a220da4b282e8b27dbefda9","active","6a220db44b48ecb69389ccd4","Vendor Product Story Generator: produce culturally respectful, demo-safe, human-reviewable output.","2026-06-04T23:43:45.452Z","6a220db41862889aab31e1ad","2026-06-04T23:43:48.898000","2026-06-04T23:43:48.898000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"[{""status"":""seeded_not_verified""}]","published","SCAVERSE_TOTAL_DATABASE_SEED","{""approval_required"":true,""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","tenant","","Never overclaim hardware, payment, production, or cultural facts. Use simple clear language and require review for sensitive content.","","1","[{""input"":""Demo input""}]","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","","6a220da4b282e8b27dbefda9","active","6a220db359f0c8e04246e81d","Visitor Safety Response: produce culturally respectful, demo-safe, human-reviewable output.","2026-06-04T23:43:45.452Z","6a220db428f28af8adbfbdf5","2026-06-04T23:43:48.200000","2026-06-04T23:43:48.200000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"[{""status"":""seeded_not_verified""}]","published","SCAVERSE_TOTAL_DATABASE_SEED","{""approval_required"":true,""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","tenant","","Never overclaim hardware, payment, production, or cultural facts. Use simple clear language and require review for sensitive content.","","1","[{""input"":""Demo input""}]","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","","6a220da4b282e8b27dbefda9","active","6a220db3cbc8801160e7828d","Learning Module Generator: produce culturally respectful, demo-safe, human-reviewable output.","2026-06-04T23:43:45.452Z","6a220db3c507be3f26292584","2026-06-04T23:43:47.508000","2026-06-04T23:43:47.508000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
